tanggal,harga
2020-12-10,11700
2020-12-11,11750
2020-12-14,11700
2020-12-15,11700
2020-12-16,11200
2020-12-17,11200
2020-12-18,11200
2020-12-21,11300
2020-12-22,11700
2020-12-23,11700
2020-12-28,11700
2020-12-29,11850
2020-12-30,11700
2021-01-04,11700
2021-01-05,11700
2021-01-06,11850
2021-01-07,11850
2021-01-08,11850
2021-01-11,11850
2021-01-12,11800
2021-01-13,11850
2021-01-14,11850
2021-01-15,11850
2021-01-25,11850
2021-01-26,11850
2021-01-27,11850
2021-01-28,11850
2021-01-29,11850
2021-02-01,11850
2021-02-02,11850
2021-02-03,11850
2021-02-04,11850
2021-02-05,11850
2021-02-08,11850
2021-02-09,11850
2021-02-10,11850
2021-02-11,11850
2021-02-15,11850
2021-02-16,11850
2021-02-17,12100
2021-02-18,11850
2021-02-19,11850
2021-02-22,12250
2021-02-23,11850
2021-02-24,11850
2021-02-25,11850
2021-02-26,11850
2021-03-01,11850
2021-03-02,11850
2021-03-03,11850
2021-03-04,11850
2021-03-05,11850
2021-03-08,11850
2021-03-09,11950
2021-03-10,12000
2021-03-12,11850
2021-03-15,11850
2021-03-16,11950
2021-03-17,11950
2021-03-18,11950
2021-03-19,11850
2021-03-22,11850
2021-03-23,11950
2021-03-24,11950
2021-03-25,11950
2021-03-26,11950
2021-03-29,11950
2021-03-30,11700
2021-03-31,12050
2021-04-01,12050
2021-04-05,11700
2021-04-06,11700
2021-04-07,12050
2021-04-08,12050
2021-04-09,12050
2021-04-12,12050
2021-04-13,12050
2021-04-14,12050
2021-04-15,12050
2021-04-16,12050
2021-04-19,11950
2021-04-20,12200
2021-04-21,11850
2021-04-22,11800
2021-04-23,11850
2021-04-26,11850
2021-04-27,11850
2021-04-28,11850
2021-04-29,11450
2021-04-30,11450
2021-05-03,11950
2021-05-04,11450
2021-05-05,11550
2021-05-06,11600
2021-05-07,11600
2021-05-10,11550
2021-05-11,11950
2021-05-17,11900
2021-05-18,11850
2021-05-19,12000
2021-05-20,11900
2021-05-21,11800
2021-05-24,11800
2021-05-25,11800
2021-05-27,11800
2021-05-28,11850
2021-05-31,12300
2021-06-02,11900
2021-06-03,11800
2021-06-04,11600
2021-06-07,11450
2021-06-08,11600
2021-06-09,11900
2021-06-10,11900
2021-06-11,11900
2021-06-14,11900
2021-06-15,11900
2021-06-16,11900
2021-06-17,11900
2021-06-18,11600
2021-06-21,11900
2021-06-22,11900
2021-06-23,11900
2021-06-24,11900
2021-06-25,12000
2021-06-28,11900
2021-06-29,11900
2021-06-30,11900
2021-07-01,11900
2021-07-02,11900
2021-07-05,11900
2021-07-06,11900
2021-07-07,11900
2021-07-08,11900
2021-07-09,11900
2021-07-12,11900
2021-07-13,11850
2021-07-14,11850
2021-07-15,12000
2021-07-16,11900
2021-07-19,11850
2021-07-21,11850
2021-07-22,11850
2021-07-23,11850
2021-07-26,11850
2021-07-27,11850
2021-07-28,11850
2021-07-29,11850
2021-07-30,11850
2021-08-02,11850
2021-08-03,11800
2021-08-04,11800
2021-08-05,11800
2021-08-06,11700
2021-08-09,11850
2021-08-10,11700
2021-08-12,11700
2021-08-13,11700
2021-08-16,11700
2021-08-18,11850
2021-08-19,11700
2021-08-20,11700
2021-08-23,11850
2021-08-24,11850
2021-08-25,11850
2021-08-26,11800
2021-08-27,11700
2021-08-30,11700
2021-08-31,11700
2021-09-01,11800
2021-09-02,11700
2021-09-03,11800
2021-09-06,11800
2021-09-07,12550
2021-09-08,11900
2021-09-09,11600
2021-09-10,11600
2021-09-13,11500
2021-09-14,11600
2021-09-15,11650
2021-09-16,12550
2021-09-17,11900
2021-09-20,11600
2021-09-21,11600
2021-09-22,11900
2021-09-23,11900
2021-09-24,11900
2021-09-27,11550
2021-09-28,11550
2021-09-29,12000
2021-09-30,11900
2021-10-01,11900
2021-10-04,11900
2021-10-05,11900
2021-10-06,11600
2021-10-07,11600
2021-10-08,11400
2021-10-11,11400
2021-10-12,11650
2021-10-13,11650
2021-10-14,11650
2021-10-15,11650
2021-10-18,11650
2021-10-19,11650
2021-10-21,11650
2021-10-22,11650
2021-10-25,11650
2021-10-26,11650
2021-10-27,11650
2021-10-28,11650
2021-10-29,11650
2021-11-01,11650
2021-11-02,11700
2021-11-03,11650
2021-11-04,11650
2021-11-05,11650
2021-11-08,11650
2021-11-09,11650
2021-11-10,11650
2021-11-11,11650
2021-11-12,11650
2021-11-15,11650
2021-11-16,11550
2021-11-17,11650
2021-11-18,11600
2021-11-19,11600
2021-11-22,11650
2021-11-23,11700
2021-11-24,11600
2021-11-25,11650
2021-11-26,11650
2021-11-29,11650
2021-11-30,11650
2021-12-01,11650
2021-12-02,11650
2021-12-03,11650
2021-12-06,11650
2021-12-07,11550
2021-12-08,11550
2021-12-09,11650
2021-12-10,11650
2021-12-13,11650
2021-12-14,11650
2021-12-15,11650
2021-12-16,11650
2021-12-17,11650
2021-12-20,11650
2021-12-21,11550
2021-12-22,11550
2021-12-23,11550
2021-12-24,11700
2021-12-27,11600
2021-12-28,11600
2021-12-29,11700
2021-12-30,11650
2021-12-31,11700
2022-01-03,11700
2022-01-04,11700
2022-01-05,11650
2022-01-06,11650
2022-01-07,11650
2022-01-10,11650
2022-01-11,11650
2022-01-12,11650
2022-01-13,11650
2022-01-14,11550
2022-01-17,11650
2022-01-18,11650
2022-01-19,11650
2022-01-20,11700
2022-01-21,11550
2022-01-24,11650
2022-01-25,11650
2022-01-26,11650
2022-01-27,11550
2022-01-28,11500
2022-01-31,11500
2022-02-02,11500
2022-02-03,11500
2022-02-04,11500
2022-02-07,11600
2022-02-08,11600
2022-02-09,11600
2022-02-10,11600
2022-02-11,11600
2022-02-14,11500
2022-02-15,11600
2022-02-16,11500
2022-02-17,11500
2022-02-18,11500
2022-02-21,11500
2022-02-22,11500
2022-02-23,11600
2022-02-24,11950
2022-02-25,11600
2022-03-01,11600
2022-03-02,11600
2022-03-04,11600
2022-03-07,11600
2022-03-08,11600
2022-03-09,11600
2022-03-10,11500
2022-03-11,11500
2022-03-14,11600
2022-03-15,11600
2022-03-16,11600
2022-03-17,11500
2022-03-18,11600
2022-03-21,11600
2022-03-22,11600
2022-03-23,11500
2022-03-24,11600
2022-03-25,11600
2022-03-28,11600
2022-03-29,11500
2022-03-30,11600
2022-03-31,11600
2022-04-01,11600
2022-04-04,11600
2022-04-05,11600
2022-04-06,11600
2022-04-07,11600
2022-04-08,11600
2022-04-11,11600
2022-04-12,11600
2022-04-13,11600
2022-04-14,11600
2022-04-18,11600
2022-04-19,11600
2022-04-20,11600
2022-04-21,11600
2022-04-22,11600
2022-04-26,11600
2022-04-27,11600
2022-04-28,11500
2022-05-09,11500
2022-05-10,11500
2022-05-11,11600
2022-05-12,11600
2022-05-13,11500
2022-05-17,11600
2022-05-18,11500
2022-05-19,11600
2022-05-20,11600
2022-05-23,11500
2022-05-24,11550
2022-05-25,11600
2022-05-27,11600
2022-05-30,11500
2022-05-31,11600
2022-06-02,11550
2022-06-03,11600
2022-06-06,11600
2022-06-07,11600
2022-06-08,11600
2022-06-09,11600
2022-06-10,11600
2022-06-13,11400
2022-06-14,11600
2022-06-15,11600
2022-05-16,11600
2022-06-17,11600
2022-06-20,11450
2022-06-21,11450
2022-06-22,11450
2022-06-23,11450
2022-06-24,11500
2022-06-27,11450
2022-06-28,11450
2022-06-29,11450
2022-06-30,11450
2022-07-01,11450
2022-07-04,11450
2022-07-05,11450
2022-07-06,11450
2022-07-07,11450
2022-07-08,11450
2022-07-11,11450
2022-07-12,11450
2022-07-13,11450
2022-07-14,11450
2022-07-15,11450
2022-07-18,11450
2022-07-19,11450
2022-07-20,11500
2022-07-21,11450
2022-07-22,11600
2022-07-25,11500
2022-07-26,11450
2022-07-27,11450
2022-07-28,11450
2022-07-29,11450
2022-08-01,11450
2022-08-02,11450
2022-08-03,11450
2022-08-04,11450
2022-08-05,11450
2022-08-08,11450
2022-08-09,11450
2022-08-10,11450
2022-08-11,11450
2022-08-12,11450
2022-08-15,11450
2022-08-16,11200
2022-08-18,11250
2022-08-19,11350
2022-08-22,11200
2022-08-23,11200
2022-08-24,11200
2022-08-25,11200
2022-08-26,11200
2022-08-29,11200
2022-08-30,11350
2022-08-31,11200
2022-09-01,11250
2022-09-02,11200
2022-09-05,11200
2022-09-06,11200
2022-09-07,11150
2022-09-08,11200
2022-09-09,11200
2022-09-12,11200
2022-09-13,11200
2022-09-14,11250
2022-09-15,11250
2022-09-16,11350
2022-09-19,11350
2022-09-20,11250
2022-09-21,11250
2022-09-22,11250
2022-09-23,11350
2022-09-26,11350
2022-09-27,11350
2022-09-28,11350
2022-09-29,11350
2022-09-30,11350
2022-10-03,11250
2022-10-04,11050
2022-10-05,11250
2022-10-06,11250
2022-10-07,11300
2022-10-10,11300
2022-10-11,11250
2022-10-12,11300
2022-10-13,11300
2022-10-14,11300
2022-10-17,11300
2022-10-18,11250
2022-10-19,11250
2022-10-20,11250
2022-10-21,11250
2022-10-24,11250
2022-10-25,11200
2022-10-26,11200
2022-10-27,11200
2022-10-28,11200
2022-10-31,11200
2022-11-01,11250
2022-11-02,11150
2022-11-03,11200
2022-11-04,11150
2022-11-07,11150
2022-11-08,11300
2022-11-09,11300
2022-11-10,11300
2022-11-11,11300
2022-11-14,11300
2022-11-15,11300
2022-11-16,11550
2022-11-17,11550
2022-11-18,11550
2022-11-21,11750
2022-11-22,11600
2022-11-23,11600
2022-11-24,11450
2022-11-25,11600
2022-11-28,11650
2022-11-29,11850
2022-11-30,11650
2022-12-01,11600
2022-12-02,11600
2022-12-05,11650
2022-12-06,11650
2022-12-07,11650
2022-12-08,11850
2022-12-09,11850
2022-12-12,11850
2022-12-13,11850
2022-12-14,11750
2022-12-15,11800
2022-12-16,11850
2022-12-19,11850
