ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,price,label
2020-04-13,11364.086430398307,11341.763015039745,11683.018979098864,11364.086430398307,11364.086430398307,145.25999709770113,145.25999709770113,145.25999709770113,14.31824421536732,14.31824421536732,14.31824421536732,130.94175288233382,130.94175288233382,130.94175288233382,0.0,0.0,0.0,11509.346427496008,11450.0,Actual
2020-04-14,11365.633838689122,11307.65236795759,11673.027127728854,11365.633838689122,11365.633838689122,129.2555755998952,129.2555755998952,129.2555755998952,10.540632141101199,10.540632141101199,10.540632141101199,118.71494345879401,118.71494345879401,118.71494345879401,0.0,0.0,0.0,11494.889414289017,11500.0,Actual
2020-04-15,11367.181246979937,11311.506717531402,11667.270824201129,11367.181246979937,11367.181246979937,124.85323007677475,124.85323007677475,124.85323007677475,19.01969696993825,19.01969696993825,19.01969696993825,105.83353310683651,105.83353310683651,105.83353310683651,0.0,0.0,0.0,11492.034477056712,11450.0,Actual
2020-04-16,11368.728655270752,11296.0896697467,11655.5180895818,11368.728655270752,11368.728655270752,109.43854435222632,109.43854435222632,109.43854435222632,16.977803150016243,16.977803150016243,16.977803150016243,92.46074120221007,92.46074120221007,92.46074120221007,0.0,0.0,0.0,11478.167199622978,11450.0,Actual
2020-04-17,11370.276063561569,11268.336865741188,11636.799021993653,11370.276063561569,11370.276063561569,79.0527741583313,79.0527741583313,79.0527741583313,0.2827657043156811,0.2827657043156811,0.2827657043156811,78.77000845401561,78.77000845401561,78.77000845401561,0.0,0.0,0.0,11449.3288377199,11450.0,Actual
2020-04-20,11374.918288434012,11253.936325585235,11615.51493149704,11374.918288434012,11374.918288434012,51.92559037184648,51.92559037184648,51.92559037184648,14.318244215388162,14.318244215388162,14.318244215388162,37.60734615645832,37.60734615645832,37.60734615645832,0.0,0.0,0.0,11426.843878805857,11500.0,Actual
2020-04-21,11376.465696724827,11227.314851369509,11591.702793618459,11376.465696724827,11376.465696724827,35.00575426765307,35.00575426765307,35.00575426765307,10.540632141117985,10.540632141117985,10.540632141117985,24.465122126535082,24.465122126535082,24.465122126535082,0.0,0.0,0.0,11411.47145099248,11450.0,Actual
2020-04-22,11378.013105015643,11238.822064942906,11577.869728194579,11378.013105015643,11378.013105015643,30.925596934630587,30.925596934630587,30.925596934630587,19.019696969963388,19.019696969963388,19.019696969963388,11.905899964667203,11.905899964667203,11.905899964667203,0.0,0.0,0.0,11408.938701950274,11450.0,Actual
2020-04-23,11379.560513306458,11224.957932696212,11582.177891111267,11379.560513306458,11379.560513306458,17.070124371582803,17.070124371582803,17.070124371582803,16.977803150024666,16.977803150024666,16.977803150024666,0.09232122155813738,0.09232122155813738,0.09232122155813738,0.0,0.0,0.0,11396.630637678041,11450.0,Actual
2020-04-24,11381.107921597273,11199.357693662345,11542.646649484821,11381.107921597273,11381.107921597273,-10.54364746493023,-10.54364746493023,-10.54364746493023,0.2827657043243969,0.2827657043243969,0.2827657043243969,-10.826413169254627,-10.826413169254627,-10.826413169254627,0.0,0.0,0.0,11370.564274132343,11450.0,Actual
2020-04-27,11385.75014646972,11181.627075681728,11545.90948371144,11385.75014646972,11385.75014646972,-22.660817267688817,-22.660817267688817,-22.660817267688817,14.318244215306363,14.318244215306363,14.318244215306363,-36.979061482995185,-36.979061482995185,-36.979061482995185,0.0,0.0,0.0,11363.08932920203,11450.0,Actual
2020-04-28,11387.297554760533,11169.012369015809,11533.133848964406,11387.297554760533,11387.297554760533,-32.644266943391266,-32.644266943391266,-32.644266943391266,10.540632141106672,10.540632141106672,10.540632141106672,-43.184899084497935,-43.184899084497935,-43.184899084497935,0.0,0.0,0.0,11354.653287817142,11450.0,Actual
2020-04-29,11388.844963051348,11184.953146685231,11543.271881146484,11388.844963051348,11388.844963051348,-29.015959779734505,-29.015959779734505,-29.015959779734505,19.01969696993129,19.01969696993129,19.01969696993129,-48.03565674966579,-48.03565674966579,-48.03565674966579,0.0,0.0,0.0,11359.829003271614,11450.0,Actual
2020-04-30,11390.392371342163,11184.985594898979,11533.378787020274,11390.392371342163,11390.392371342163,-34.52963916490869,-34.52963916490869,-34.52963916490869,16.977803149992035,16.977803149992035,16.977803149992035,-51.50744231490073,-51.50744231490073,-51.50744231490073,0.0,0.0,0.0,11355.862732177255,11450.0,Actual
2020-05-04,11396.582004505424,11185.47029993475,11527.045382140866,11396.582004505424,11396.582004505424,-37.64473172771975,-37.64473172771975,-37.64473172771975,14.3182442153272,14.3182442153272,14.3182442153272,-51.962975943046956,-51.962975943046956,-51.962975943046956,0.0,0.0,0.0,11358.937272777704,11450.0,Actual
2020-05-05,11398.12941279624,11188.812846246501,11533.316650401595,11398.12941279624,11398.12941279624,-38.46534471597695,-38.46534471597695,-38.46534471597695,10.54063214111638,10.54063214111638,10.54063214111638,-49.00597685709333,-49.00597685709333,-49.00597685709333,0.0,0.0,0.0,11359.664068080263,11450.0,Actual
